createDate,location,"cl_topic.langfre","keywordType-.langfre","keywordType-discipline.langfre","keywordType-place.langfre","keywordType-stratum.langfre","keywordType-temporal.langfre","keywordType-theme.langfre","tag.langfre","th_AGROVOC.langfre","th_anaee-france_locations.langfre","th_anaeeThes.langfre","th_Autre.langfre","th_Biodiversite.langfre","th_ENVTHES.langfre","th_external-place-departements.langfre","th_external-place-ore.langfre","th_external-theme-gemet.langfre","th_gemet-en-fr-de-nl-it-es.langfre","th_gemet-fr-en-pt-es_4-1-4.langfre","th_gemet.langfre","th_GEMETinspirethemes-version1-0.langfre","th_geobretagne.langfre","th_Groupthemes.langfre","th_httpinspireeceuropaeuapplicationschema-applicationschema.langfre","th_httpinspireeceuropaeutheme-theme.langfre","th_inspire-service-taxonomy.langfre","th_INSPIRE.langfre","th_INSPIREMetadataRegulation12052008EC.langfre","th_INSPIREthemes.langfre","th_loterre-BHL.langfre","th_OPENDATA.langfre","th_otherKeywords-.langfre","th_otherKeywords-discipline.langfre","th_otherKeywords-place.langfre","th_otherKeywords-stratum.langfre","th_otherKeywords-temporal.langfre","th_otherKeywords-theme.langfre","th_prodige.langfre","th_RegionFR_2017.langfre","th_RegionFR.langfre","th_regions.langfre","th_reseaudeszonesateliers.langfre","th_rza.langfre","th_variableAnaEE.langfre","th_VariableAnaEE.langfre"
"Jan 28, 2011 @ 15:41:50.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-",biologique,"-","-","-","campagne, Pêche, Peuplement de rivière, Poisson","biologique, campagne, Pêche, Peuplement de rivière, Poisson","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",biologique,"-","-","-","campagne, Pêche, Peuplement de rivière, Poisson","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:41:32.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Aude","-","-","campagne, Autorisation, Autosurveillance, installation classée, Prélèvement de l'eau, Rejet","physico-chimique, France, Aude, campagne, Autorisation, Autosurveillance, installation classée, Prélèvement de l'eau, Rejet","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Aude","-","-","campagne, Autorisation, Autosurveillance, installation classée, Prélèvement de l'eau, Rejet","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:41:17.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Jura","-","-","campagne, Autosurveillance, Station d'épuration","physico-chimique, France, Jura, campagne, Autosurveillance, Station d'épuration","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Jura","-","-","campagne, Autosurveillance, Station d'épuration","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:40:53.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Ardèche","-","-","campagne, Autosurveillance, Station d'épuration","physico-chimique, France, Ardèche, campagne, Autosurveillance, Station d'épuration","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Ardèche","-","-","campagne, Autosurveillance, Station d'épuration","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:40:34.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Haute-Savoie","-","-","campagne, Autosurveillance, Station d'épuration","physico-chimique, France, Haute-Savoie, campagne, Autosurveillance, Station d'épuration","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Haute-Savoie","-","-","campagne, Autosurveillance, Station d'épuration","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:40:17.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Gard","-","-","campagne, Autorisation, Autosurveillance, installation classée, Rejet","physico-chimique, France, Gard, campagne, Autorisation, Autosurveillance, installation classée, Rejet","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Gard","-","-","campagne, Autorisation, Autosurveillance, installation classée, Rejet","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:39:58.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","économique","France, Hautes-Alpes","-","-","enquête, Police de l'eau","économique, France, Hautes-Alpes, enquête, Police de l'eau","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","économique","France, Hautes-Alpes","-","-","enquête, Police de l'eau","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:39:41.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Hérault","-","-","enquête, installation classée","physico-chimique, France, Hérault, enquête, installation classée","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Hérault","-","-","enquête, installation classée","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:39:20.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","écologique","France, Isère","-","-","enquête, Autorisation, Prélèvement de l'eau","écologique, France, Isère, enquête, Autorisation, Prélèvement de l'eau","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","écologique","France, Isère","-","-","enquête, Autorisation, Prélèvement de l'eau","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:39:03.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","écologique","France, Saône-et-Loire","-","-","enquête, MISE, Prélèvement de l'eau, Rejet","écologique, France, Saône-et-Loire, enquête, MISE, Prélèvement de l'eau, Rejet","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","écologique","France, Saône-et-Loire","-","-","enquête, MISE, Prélèvement de l'eau, Rejet","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:38:45.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","économique",France,"-","-","enquête, Police de l'eau, Station d'épuration","économique, France, enquête, Police de l'eau, Station d'épuration","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","économique",France,"-","-","enquête, Police de l'eau, Station d'épuration","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:38:29.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","géographique","France, Alpes-Maritimes","-","-","enquête, Captage","géographique, France, Alpes-Maritimes, enquête, Captage","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","géographique","France, Alpes-Maritimes","-","-","enquête, Captage","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:38:09.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","géographique","-","-","-","enquête, Zone humide","géographique, enquête, Zone humide","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","géographique","-","-","-","enquête, Zone humide","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:37:52.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-",hydraulique,France,"-","-","enquête, Zone vulnérable, Zone sensible, PPRI","hydraulique, France, enquête, Zone vulnérable, Zone sensible, PPRI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",hydraulique,France,"-","-","enquête, Zone vulnérable, Zone sensible, PPRI","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:37:36.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Aude","-","-","enquête, Autorisation, installation classée, Rejet","physico-chimique, France, Aude, enquête, Autorisation, installation classée, Rejet","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Aude","-","-","enquête, Autorisation, installation classée, Rejet","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:37:21.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-",hydrologique,"France, Jura","-","-","enquête, Irrigation, Prélèvement de l'eau","hydrologique, France, Jura, enquête, Irrigation, Prélèvement de l'eau","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",hydrologique,"France, Jura","-","-","enquête, Irrigation, Prélèvement de l'eau","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:37:03.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","géographique","-","-","-","enquête, Zone vulnérable, Directive Nitrates, MISE","géographique, enquête, Zone vulnérable, Directive Nitrates, MISE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","géographique","-","-","-","enquête, Zone vulnérable, Directive Nitrates, MISE","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:36:48.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","économique","France, Isère","-","-","enquête, Police de l'eau","économique, France, Isère, enquête, Police de l'eau","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","économique","France, Isère","-","-","enquête, Police de l'eau","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:36:31.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","économique","France, Aude","-","-","enquête, Prix de l'eau, Eau souterraine","économique, France, Aude, enquête, Prix de l'eau, Eau souterraine","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","économique","France, Aude","-","-","enquête, Prix de l'eau, Eau souterraine","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:36:11.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-",biologique,"France, Alpes-Maritimes","-","-","enquête, Surveillance, Posidonie","biologique, France, Alpes-Maritimes, enquête, Surveillance, Posidonie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",biologique,"France, Alpes-Maritimes","-","-","enquête, Surveillance, Posidonie","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:35:54.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","géographique","France, Drôme","-","-","enquête, Captage","géographique, France, Drôme, enquête, Captage","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","géographique","France, Drôme","-","-","enquête, Captage","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:35:38.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Jura","-","-","enquête, Autorisation, installation classée, Rejet","physico-chimique, France, Jura, enquête, Autorisation, installation classée, Rejet","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Jura","-","-","enquête, Autorisation, installation classée, Rejet","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:35:18.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","économique","France, Doubs","-","-","enquête, Autorisation","économique, France, Doubs, enquête, Autorisation","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","économique","France, Doubs","-","-","enquête, Autorisation","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:35:02.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Pyrénées-Orientales","-","-","enquête, installation classée, Rejet","physico-chimique, France, Pyrénées-Orientales, enquête, installation classée, Rejet","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Pyrénées-Orientales","-","-","enquête, installation classée, Rejet","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:34:43.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","hydrogéologique","France, Hérault","-","-","campagne, Eau souterraine","hydrogéologique, France, Hérault, campagne, Eau souterraine","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","hydrogéologique","France, Hérault","-","-","campagne, Eau souterraine","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:34:28.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","hydrogéologique","France, Hérault","-","-","campagne, Eau souterraine","hydrogéologique, France, Hérault, campagne, Eau souterraine","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","hydrogéologique","France, Hérault","-","-","campagne, Eau souterraine","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:33:49.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-",hydrologique,"-","-","-","chronique, Annonce de crue","hydrologique, chronique, Annonce de crue","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",hydrologique,"-","-","-","chronique, Annonce de crue","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:33:20.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-",hydrologique,"France, Aude","-","-",campagne,"hydrologique, France, Aude, campagne","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",hydrologique,"France, Aude","-","-",campagne,"-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:33:03.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Savoie","-","-","campagne, Autosurveillance, Station d'épuration","physico-chimique, France, Savoie, campagne, Autosurveillance, Station d'épuration","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Savoie","-","-","campagne, Autosurveillance, Station d'épuration","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:32:45.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","-","-","-","campagne, Effluent","physico-chimique, campagne, Effluent","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","-","-","-","campagne, Effluent","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:32:29.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique",France,"-","-","campagne, SATESE","physico-chimique, France, campagne, SATESE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique",France,"-","-","campagne, SATESE","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:32:11.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","-","-","-","campagne, Plan d'eau, Autosurveillance, Diatomée benthique, Macro-invertébré benthique","physico-chimique, campagne, Plan d'eau, Autosurveillance, Diatomée benthique, Macro-invertébré benthique","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","-","-","-","campagne, Plan d'eau, Autosurveillance, Diatomée benthique, Macro-invertébré benthique","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:31:17.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","hydrogéologique","France, Pyrénées-Orientales","-","-","chronique, Eau souterraine","hydrogéologique, France, Pyrénées-Orientales, chronique, Eau souterraine","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","hydrogéologique","France, Pyrénées-Orientales","-","-","chronique, Eau souterraine","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:31:01.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Hérault","-","-","campagne, Eau souterraine","physico-chimique, France, Hérault, campagne, Eau souterraine","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Hérault","-","-","campagne, Eau souterraine","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:30:31.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","hydrogéologique","France, Aude","-","-","chronique, Eau souterraine","hydrogéologique, France, Aude, chronique, Eau souterraine","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","hydrogéologique","France, Aude","-","-","chronique, Eau souterraine","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:30:16.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-",biologique,"-","-","-","campagne, Etang","biologique, campagne, Etang","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",biologique,"-","-","-","campagne, Etang","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:30:00.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-",hydrologique,"France, Savoie","-","-","campagne, Observatoire, Source","hydrologique, France, Savoie, campagne, Observatoire, Source","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",hydrologique,"France, Savoie","-","-","campagne, Observatoire, Source","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:29:46.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Savoie","-","-","campagne, Bryophyte, Rivière","physico-chimique, France, Savoie, campagne, Bryophyte, Rivière","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Savoie","-","-","campagne, Bryophyte, Rivière","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:29:13.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique",France,"-","-","campagne, Autorisation, Autosurveillance, installation classée, Rejet","physico-chimique, France, campagne, Autorisation, Autosurveillance, installation classée, Rejet","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique",France,"-","-","campagne, Autorisation, Autosurveillance, installation classée, Rejet","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:28:56.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","économique",France,"-","-","Conchyliculture, enquête","économique, France, Conchyliculture, enquête","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","économique",France,"-","-","Conchyliculture, enquête","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:28:35.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique",France,"-","-","enquête, Eau souterraine, Traçage","physico-chimique, France, enquête, Eau souterraine, Traçage","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique",France,"-","-","enquête, Eau souterraine, Traçage","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:28:18.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Pyrénées-Orientales","-","-","campagne, Salinité, Eau souterraine","physico-chimique, France, Pyrénées-Orientales, campagne, Salinité, Eau souterraine","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Pyrénées-Orientales","-","-","campagne, Salinité, Eau souterraine","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:28:03.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique","France, Jura","-","-","campagne, Irrigation, Eau souterraine","physico-chimique, France, Jura, campagne, Irrigation, Eau souterraine","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique","France, Jura","-","-","campagne, Irrigation, Eau souterraine","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:27:46.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","hydrogéologique","-","-","-","campagne, Eau souterraine","hydrogéologique, campagne, Eau souterraine","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","hydrogéologique","-","-","-","campagne, Eau souterraine","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:27:28.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","économique",France,"-","-","Conchyliculture, enquête","économique, France, Conchyliculture, enquête","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","économique",France,"-","-","Conchyliculture, enquête","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:27:13.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-",biologique,"-","-","-","enquête, Caulerpe","biologique, enquête, Caulerpe","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",biologique,"-","-","-","enquête, Caulerpe","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:26:57.000","-","Eaux intérieures, Hydrographie","-",biologique,France,"-","-","enquête, Zone Natura 2000, Poisson","biologique, France, enquête, Zone Natura 2000, Poisson","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",biologique,France,"-","-","enquête, Zone Natura 2000, Poisson","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:26:24.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","géographique",France,"-","-","enquête, Zone humide","géographique, France, enquête, Zone humide","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","géographique",France,"-","-","enquête, Zone humide","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:26:08.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","géographique","-","-","-","enquête, Zone vulnérable, Zone sensible, Zone Natura 2000, Eau souterraine","géographique, enquête, Zone vulnérable, Zone sensible, Zone Natura 2000, Eau souterraine","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","géographique","-","-","-","enquête, Zone vulnérable, Zone sensible, Zone Natura 2000, Eau souterraine","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:25:36.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","géographique",France,"-","-","enquête, Conchyliculture","géographique, France, enquête, Conchyliculture","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","géographique",France,"-","-","enquête, Conchyliculture","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:25:01.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","économique","-","-","-","enquête, Plaisance","économique, enquête, Plaisance","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","économique","-","-","-","enquête, Plaisance","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:24:41.000","-","Eaux intérieures, Hydrographie","-",biologique,"-","-","-","enquête, Horticulture","biologique, enquête, Horticulture","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",biologique,"-","-","-","enquête, Horticulture","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:24:25.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","écologique","-","-","-","enquête, SAGE, Contrat de milieu","écologique, enquête, SAGE, Contrat de milieu","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","écologique","-","-","-","enquête, SAGE, Contrat de milieu","-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:24:08.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique",France,"-","-",Rejet,"physico-chimique, France, Rejet","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique",France,"-","-",Rejet,"-","-","-","-","-","-","-","-"
"Jan 28, 2011 @ 15:23:50.000","{
  ""coordinates"": [
    5.449215,
    44.851380000000006
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","physico-chimique",France,"-","-","enquête, Industrie, Rejet","physico-chimique, France, enquête, Industrie, Rejet","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","physico-chimique",France,"-","-","enquête, Industrie, Rejet","-","-","-","-","-","-","-","-"
